Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Tanzania,TZA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,45.2244399
Tanzania,TZA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,47.5060194
Zambia,ZMB,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,39.3922973
Zambia,ZMB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,39.8696364
Zambia,ZMB,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,66.6738711
Zambia,ZMB,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,47.6502058
Zambia,ZMB,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,46.0981769
Zimbabwe,ZWE,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,23.5958483
Zimbabwe,ZWE,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,29.9566706
Zimbabwe,ZWE,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,51.7832815
Zimbabwe,ZWE,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,33.8746285
Zimbabwe,ZWE,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,34.5817467
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 03/18/2026,,,,
