feature,mean_coefficient,sd_coefficient,median_coefficient,positive_fraction,mean_absolute,predictive_weight_abs
control_of_corruption__score_0_1,-0.0419381510530638,0.03257480062036399,-0.03391238583408072,0.125,0.04322765110054014,0.13878319525859464
government_effectiveness__score_0_1,0.055035242924382236,0.04202001822416639,0.05143097075048153,0.875,0.05518470030642972,0.17717152893876684
political_stability__score_0_1,0.07642802384741375,0.03442759772087288,0.0779037454944829,1.0,0.07642802384741375,0.24537362282707084
regulatory_quality__score_0_1,0.072903872853257,0.044290030041650344,0.08079408154990073,0.875,0.07395479729066443,0.23743328197103497
rule_of_law__score_0_1,0.00017557732242591897,0.024687479697564782,0.0020591069348497373,0.625,0.014934965091680085,0.047948989217066966
voice_accountability__score_0_1,0.04774598178820718,0.02978937787497381,0.049000473561602476,1.0,0.04774598178820718,0.15328938178746573
