,control_of_corruption,government_effectiveness,political_stability,regulatory_quality,rule_of_law,voice_accountability
control_of_corruption,1.0,0.9125667424545159,0.8547090663786013,0.9110535959722805,0.9491870956781754,0.8605452948608696
government_effectiveness,0.9125667424545159,1.0,0.769870679317285,0.9160326755850591,0.9081205885138018,0.7978247737969123
political_stability,0.8547090663786013,0.769870679317285,1.0,0.7371846221954801,0.838932219862107,0.7714370860541307
regulatory_quality,0.9110535959722805,0.9160326755850591,0.7371846221954801,1.0,0.9289862656986658,0.8463670193753139
rule_of_law,0.9491870956781754,0.9081205885138018,0.838932219862107,0.9289862656986658,1.0,0.9203632425653768
voice_accountability,0.8605452948608696,0.7978247737969123,0.7714370860541307,0.8463670193753139,0.9203632425653768,1.0
