held_out_country,model,feature,standardised_coefficient,selected_alpha
MAR,governance_only,voice_accountability__score_0_1,0.001234317846554625,10000.0
MLI,governance_only,control_of_corruption__score_0_1,0.0003770953370170563,10000.0
MLI,governance_only,government_effectiveness__score_0_1,-0.0004541198291030455,10000.0
MLI,governance_only,political_stability__score_0_1,0.003444314587118466,10000.0
MLI,governance_only,regulatory_quality__score_0_1,0.00042816821774550125,10000.0
MLI,governance_only,rule_of_law__score_0_1,0.0007557323882019025,10000.0
MLI,governance_only,voice_accountability__score_0_1,0.0016544727030375508,10000.0
MOZ,governance_only,control_of_corruption__score_0_1,0.0014748791738206921,10000.0
MOZ,governance_only,government_effectiveness__score_0_1,5.395110826683652e-05,10000.0
MOZ,governance_only,political_stability__score_0_1,0.003442239071456456,10000.0
MOZ,governance_only,regulatory_quality__score_0_1,0.0008609649229822293,10000.0
MOZ,governance_only,rule_of_law__score_0_1,0.0019298814404480255,10000.0
MOZ,governance_only,voice_accountability__score_0_1,0.0018184402721743837,10000.0
MRT,governance_only,control_of_corruption__score_0_1,0.0005939056029831004,10000.0
MRT,governance_only,government_effectiveness__score_0_1,-0.0002537639503983336,10000.0
MRT,governance_only,political_stability__score_0_1,0.0035005184595100955,10000.0
MRT,governance_only,regulatory_quality__score_0_1,0.0003875732622479542,10000.0
MRT,governance_only,rule_of_law__score_0_1,0.0012095208146424047,10000.0
MRT,governance_only,voice_accountability__score_0_1,0.0025030378153398465,10000.0
NAM,governance_only,control_of_corruption__score_0_1,0.00011268067167856652,10000.0
NAM,governance_only,government_effectiveness__score_0_1,-0.0006567795244965236,10000.0
NAM,governance_only,political_stability__score_0_1,0.0030063400931818448,10000.0
NAM,governance_only,regulatory_quality__score_0_1,0.00015015832327985233,10000.0
NAM,governance_only,rule_of_law__score_0_1,0.00032128138252257045,10000.0
NAM,governance_only,voice_accountability__score_0_1,0.0011638274999743814,10000.0
NGA,governance_only,control_of_corruption__score_0_1,-0.0011310869268295247,10000.0
NGA,governance_only,government_effectiveness__score_0_1,-0.0012200227580147157,10000.0
NGA,governance_only,political_stability__score_0_1,0.0010609405379216335,10000.0
NGA,governance_only,regulatory_quality__score_0_1,-0.00022312443434676347,10000.0
NGA,governance_only,rule_of_law__score_0_1,-0.00013682890839396047,10000.0
NGA,governance_only,voice_accountability__score_0_1,0.0009062325178087187,10000.0
SEN,governance_only,control_of_corruption__score_0_1,0.0004055018911922072,10000.0
SEN,governance_only,government_effectiveness__score_0_1,-0.0005434010585243347,10000.0
SEN,governance_only,political_stability__score_0_1,0.0033111438607412707,10000.0
SEN,governance_only,regulatory_quality__score_0_1,0.00047546821929405367,10000.0
SEN,governance_only,rule_of_law__score_0_1,0.0007628338914412615,10000.0
SEN,governance_only,voice_accountability__score_0_1,0.0015246398751954458,10000.0
SLE,governance_only,control_of_corruption__score_0_1,0.0005083196380236543,10000.0
SLE,governance_only,government_effectiveness__score_0_1,-0.00025105753381995466,10000.0
SLE,governance_only,political_stability__score_0_1,0.0032205741480470966,10000.0
SLE,governance_only,regulatory_quality__score_0_1,0.000521966341108262,10000.0
SLE,governance_only,rule_of_law__score_0_1,0.0006783033801753704,10000.0
SLE,governance_only,voice_accountability__score_0_1,0.001344873919249905,10000.0
TZA,governance_only,control_of_corruption__score_0_1,0.00048641961854741997,10000.0
TZA,governance_only,government_effectiveness__score_0_1,-0.00020367477859367525,10000.0
TZA,governance_only,political_stability__score_0_1,0.0032562023159901456,10000.0
