feature,raw_abs_coef,normalised_weight,mapped_criterion
rule_of_law,0.26082373363726014,0.25469967070981697,RC
regulatory_quality,0.2956393987274801,0.288697874440597,RC
government_effectiveness,0.18634967625865978,0.1819742418301969,OF
control_of_corruption,0.022049154571327424,0.021531447044452114,EI
political_stability,0.02703589879450876,0.026401104011040847,OF
fraser_ppi,0.2321463894633715,0.22669566196389623,EV
