alpha,cycle,EV,RC,EI,OF
0.1,3,0.22792870534425727,0.5409635696989099,0.023316132574007595,0.20779159238282535
0.3,3,0.23779305238714554,0.5214917660868768,0.037593616810451425,0.20312156471552634
0.5,3,0.2575217464729222,0.48254815886281055,0.0661485852833391,0.1937815093809283
0.65,3,0.27879174478415003,0.440562082324364,0.0969344106681711,0.18371176222331478
0.8,3,0.30561043830700263,0.387623116254149,0.13575132093600276,0.17101512450284556
0.9,3,0.32657217577314024,0.34624553357857873,0.16609097493844593,0.16109131570983518
0.99,3,0.34754624367308146,0.30484361114849323,0.19644847579618455,0.15116166938224063
