iso3,rho,pci_interval_width_baseline,pci_interval_width_correlated,pci_width_ratio,rpci_interval_width_baseline,rpci_interval_width_correlated,rpci_width_ratio
BWA,0.25,0.07364640116091503,0.08555090686202693,1.1616440927656593,0.08910242052713185,0.09562370331219211,1.07318861537633
COD,0.25,0.07434641059496486,0.09142141120139222,1.2296681234478288,0.0824670428860359,0.09545325107218033,1.1574714908122816
GHA,0.25,0.06677584766333577,0.08013213983369966,1.2000168120321346,0.08254188967902787,0.08943215076044442,1.08347593092683
GIN,0.25,0.0689563161573164,0.08305499241064213,1.2044580835954333,0.08188467384761128,0.09000087984508243,1.0991175224386378
MAR,0.25,0.06789955085141125,0.08324615527864238,1.2260192333350635,0.08213417288821706,0.09133472443452834,1.1120185572311423
MLI,0.25,0.08047938311680425,0.09787790067099403,1.216186020324464,0.09196926435632707,0.10651855561953272,1.1581973213011214
MOZ,0.25,0.06973245661815308,0.08726300578558804,1.251397269186001,0.0817139707776488,0.09551591575140392,1.168905571989782
MRT,0.25,0.07548350250632857,0.08797608791061812,1.1655008709120533,0.0893587066648599,0.0962832805777245,1.0774918770795916
NAM,0.25,0.07681864418532136,0.09017642060342457,1.1738871671033166,0.09471469255894693,0.10206538761023465,1.077608814986259
NGA,0.25,0.07525888337783093,0.09174523890268238,1.2190619204656954,0.08663789582524861,0.09926630446744039,1.1457607958030707
SEN,0.25,0.06204976388761768,0.07584810518839374,1.2223754038092252,0.0773338385414673,0.08545045623322811,1.1049555775950342
SLE,0.25,0.07128716445183209,0.0846849775632163,1.1879414508124666,0.08524018146250018,0.09303043904216193,1.0913918464977568
TZA,0.25,0.06792972237790679,0.0798369362899814,1.175287245336178,0.08436425104432149,0.0892184268120183,1.0575383021553362
ZAF,0.25,0.07613601884919768,0.09538121838834535,1.2527739147651855,0.08998911832883755,0.10590743289060733,1.176891549304897
ZMB,0.25,0.07176533640892024,0.08140634971311,1.1343408083431126,0.08739540192854117,0.09162761566842109,1.0484260458386632
ZWE,0.25,0.06937098789788956,0.0821690245313606,1.184486872989456,0.08043039597069956,0.08894611831879073,1.1058769168709974
BWA,0.5,0.07364640116091503,0.0963077354739652,1.3077045715178381,0.08910242052713185,0.1012160668007645,1.1359519326407528
COD,0.5,0.07434641059496486,0.10548957167113454,1.4188925978664377,0.0824670428860359,0.1072549636454406,1.300579721206446
GHA,0.5,0.06677584766333577,0.09065468644844699,1.3575969399220704,0.08254188967902787,0.09628850195648758,1.1665410415355737
GIN,0.5,0.0689563161573164,0.0945735511214919,1.3714994708495238,0.08188467384761128,0.09713373778964321,1.186226105881678
MAR,0.5,0.06789955085141125,0.095658893342147,1.408829545153888,0.08213417288821706,0.09795022245156698,1.1925635701582489
MLI,0.5,0.08047938311680425,0.11398736363814418,1.4163548380174327,0.09196926435632707,0.12069078629620886,1.312294788274077
MOZ,0.5,0.06973245661815308,0.10115737639946715,1.4506498308727787,0.0817139707776488,0.10727361820019612,1.3127940935840392
MRT,0.5,0.07548350250632857,0.09934308750503279,1.3160900621523732,0.0893587066648599,0.10445969887010684,1.1689929584800645
NAM,0.5,0.07681864418532136,0.10254564302211294,1.3349056613746841,0.09471469255894693,0.1102535328123061,1.164059448788142
NGA,0.5,0.07525888337783093,0.10776531987933591,1.431928232821488,0.08663789582524861,0.11258339425332572,1.2994705513209832
SEN,0.5,0.06204976388761768,0.08616314464426161,1.3886135779713398,0.0773338385414673,0.0895887189283559,1.1584672456200062
SLE,0.5,0.07128716445183209,0.09569512583384476,1.342389286622627,0.08524018146250018,0.09951084365051921,1.1674170789312215
TZA,0.5,0.06792972237790679,0.08862531956803077,1.3046618838656543,0.08436425104432149,0.09354612393282863,1.108836062370581
ZAF,0.5,0.07613601884919768,0.11192604898884811,1.4700801365847564,0.08998911832883755,0.12026667453302164,1.336457971435436
ZMB,0.5,0.07176533640892024,0.09202465087588285,1.2822994426100736,0.08739540192854117,0.09735237636623162,1.1139301864625757
ZWE,0.5,0.06937098789788956,0.0931848194399146,1.3432822893783458,0.08043039597069956,0.09692494179086533,1.2050785106935773
BWA,0.75,0.07364640116091503,0.10699647214858399,1.4528404709797036,0.08910242052713185,0.10959669792786697,1.2300080882145572
COD,0.75,0.07434641059496486,0.1188854430458684,1.599074415220255,0.0824670428860359,0.11829743771527519,1.4344813828083367
GHA,0.75,0.06677584766333577,0.10073789641188946,1.5085977930191223,0.08254188967902787,0.10162479593140356,1.2311905667120224
GIN,0.75,0.0689563161573164,0.10381616438950303,1.5055352457149487,0.08188467384761128,0.10292974476267328,1.257008667509957
MAR,0.75,0.06789955085141125,0.10719758973363541,1.5787672876985956,0.08213417288821706,0.1040643639199409,1.2670044667226439
MLI,0.75,0.08047938311680425,0.1267072702901883,1.574406579462605,0.09196926435632707,0.1318828416336326,1.4339882193975562
MOZ,0.75,0.06973245661815308,0.1130073254614532,1.6205843152818826,0.0817139707776488,0.11772059787564593,1.4406422396969847
MRT,0.75,0.07548350250632857,0.10759347590142587,1.4253906129012122,0.0893587066648599,0.1087693916991084,1.2172220901433628
NAM,0.75,0.07681864418532136,0.1108332008760442,1.4427903805313762,0.09471469255894693,0.1144499874358616,1.2083657175430533
NGA,0.75,0.07525888337783093,0.12127834764800938,1.6114821560551407,0.08663789582524861,0.12530774514994344,1.4463387407595072
SEN,0.75,0.06204976388761768,0.09398673874135238,1.5146993776088788,0.0773338385414673,0.09290252519436676,1.201317908777428
SLE,0.75,0.07128716445183209,0.1025485966718212,1.438528204346129,0.08524018146250018,0.10233763554878234,1.200579747637021
TZA,0.75,0.06792972237790679,0.09507302817878355,1.3995792246856693,0.08436425104432149,0.09561252044830176,1.1333298081206327
ZAF,0.75,0.07613601884919768,0.12771095982569625,1.6774052775027921,0.08998911832883755,0.1339275361594635,1.4882636772822524
ZMB,0.75,0.07176533640892024,0.10138125148792515,1.4126771580955584,0.08739540192854117,0.1029066792086406,1.1774839057640838
ZWE,0.75,0.06937098789788956,0.10124692328336843,1.459499516316512,0.08043039597069956,0.10148410476671021,1.2617630877222141
